lemma	freq	distance	eligible	proper	concreteness	out_deg	in_deg
amid	11	NA	0	0	2.27	0	0
amidst	1	NA	1	0	2.15	0	0
amin	3	NA	1	0		0	0
amino	110	0	1	0	2.74	0	0
amish	2	NA	1	0		0	0
amjid	3	NA	1	0		0	0
ammeter	1	NA	1	0		0	0
ammonia	13	NA	1	0	4.44	0	1
ammonification	5	1	1	0		3	0
ammonium	7	NA	1	0	4.04	0	0
amnesia	1	NA	1	0	3.61	0	0
amniota	1	NA	1	0		0	0
amniote	8	NA	1	0		1	0
amniotic	18	0	1	0		0	0
amoeba	3	NA	1	0	3.77	0	1
amoebocyte	1	2	1	0		1	0
amoebocytes	2	NA	1	0		0	0
amoeboid	4	NA	1	0		0	0
amoebozoa	2	1	1	0		1	0
among	221	NA	0	0	2.38	0	0
amongst	2	NA	0	0	2.81	0	0
amorphous	1	NA	1	0	2.15	0	0
amount	202	NA	0	0	2.74	0	0
amoxicillin	1	NA	1	0		0	0
amp	5	NA	1	1	3.59	0	0
ampakines	1	NA	1	0		1	0
ampere	3	NA	1	0		0	0
amphetamine	1	NA	1	0	4.18	0	0
amphibia	4	NA	1	0		0	0
amphibian	44	NA	1	0	3.77	0	3
amphibious	1	NA	1	0	3.64	0	0
ample	3	NA	1	0	2.50	0	0
amplify	2	NA	1	0	2.96	0	0
ampulla	2	NA	1	0		1	0
amsterdam	7	NA	1	1		0	0
amygdala	3	NA	1	0		1	0
amylase	4	3	1	0		1	0
amylopectin	1	NA	1	0		0	0
amylose	2	NA	1	0		0	0
amyotrophic	1	NA	1	0		0	0
ana	36	NA	1	0		0	0
anabolic	7	NA	1	0		0	0
anabolism	2	4	1	0		2	0
anaconda	1	NA	1	0	4.93	0	0
anadromous	1	NA	1	0		0	0
anaemia	3	NA	1	0		0	0
anaerobe	3	NA	1	0		0	0
anaerobic	32	NA	1	0	2.64	0	0
anaerobically	1	NA	1	0		0	0
anakin	3	NA	1	1		0	0
anal	12	NA	1	0	3.30	0	0
analgesic	2	NA	1	1	3.57	0	0
analogous	15	0	1	0	1.58	0	0
analogue	3	NA	1	0	3.08	0	0
analogy	4	NA	1	0	1.61	1	0
analyse	12	NA	1	0		0	0
analysis	67	NA	1	0	2.56	1	1
analyst	27	NA	1	0	4.23	0	1
analytic	10	NA	1	1	1.80	0	0
analytical	5	NA	1	0	1.86	0	0
analyze	25	NA	1	0	2.30	0	0
anaphase	14	0	1	0		1	0
anaphylactic	2	NA	1	0	3.00	0	0
anaphylaxis	2	NA	1	1		0	0
anarchist	1	NA	1	0	2.83	0	0
anarchy	1	NA	1	0	2.12	0	0
anas	1	NA	1	0		0	0
anatomical	8	NA	1	0	3.07	0	0
anatomically	2	NA	1	0	3.00	0	0
anatomy	28	NA	1	0	3.59	0	0
anc	17	NA	1	1		0	0
ancestor	57	NA	1	0	3.24	0	0
ancestral	26	NA	1	0	1.96	0	0
ancestry	5	NA	1	0	2.83	0	0
anchor	12	NA	1	0	4.77	0	0
anchorage	1	NA	1	0	3.48	0	0
anchorman	2	NA	1	0	4.72	0	0
ancient	40	NA	1	0	2.04	0	0
ancillary	1	NA	1	0		0	0
andaluc	5	NA	1	1		0	0
andaluci	2	NA	1	1		0	0
andalus	3	NA	1	1		0	0
andalusa	1	NA	1	0		0	0
andalusian	5	NA	1	1		0	0
andean	5	NA	1	1		0	0
anders	6	NA	1	1		0	0
andersen	9	NA	1	1		0	0
anderson	34	1	1	1		2	0
andes	1	NA	1	0		0	0
andesite	1	NA	1	0		0	0
andorra	3	NA	1	1		0	0
andr	1	NA	1	0		0	0
andrew	13	NA	1	1		0	0
andrews	3	NA	1	0		0	0
androecium	1	NA	1	0		0	1
androgen	7	NA	1	0		0	0
android	14	NA	1	1	4.22	0	0
andronicus	1	NA	1	0		0	0
andy	8	NA	1	1		0	0
anecdotal	1	NA	1	0	2.00	0	0
anemia	7	NA	1	0	3.25	0	0
anemone	8	NA	1	0	4.24	0	1
aneuploid	3	NA	1	0		0	0
aneuploidy	2	NA	1	0		0	0
anew	2	NA	1	0	1.72	0	0
angel	8	0	1	1	3.82	0	0
angela	8	0	1	1		0	0
angell	2	NA	1	1		0	0
angelo	3	NA	1	0		0	0
anger	13	NA	1	0	2.41	0	0
angiosperm	32	4	1	0		1	3
angle	11	NA	1	0	3.50	0	0
angler	1	NA	1	0	4.14	0	0
anglican	1	NA	1	0		0	0
anglicism	1	NA	1	0		0	0
anglocentric	1	NA	1	0		0	0
angola	1	NA	1	0		0	0
angry	21	NA	1	0	2.53	0	0
angular	3	NA	1	0	3.07	0	0
angus	3	NA	1	0	4.19	0	0
anh	1	NA	1	0		0	0
anil	3	NA	1	0		0	0
anim	2	NA	1	1		0	0
animal	661	NA	1	0	4.61	3	13
animal's	1	NA	1	0		0	0
animalcule	1	NA	1	0		0	0
animalia	4	NA	1	1		1	0
animate	2	NA	1	0	3.04	0	0
animation	18	NA	1	0	3.41	0	0
